channel,mean,median,std,min,max,coefficient_of_variation,share_zero_weeks,skew
Google_Impressions,886171.5488427501,487732.5,1365063.628503562,7.0,17150439.0,1.5404056136604658,0.0,4.565096720357726
Facebook_Impressions,269537.4758339006,127166.5,469389.5825494856,29.0,7558435.0,1.741463153119166,0.0,6.0167384413238745
Email_Impressions,758719.1380565588,590964.01625,632440.639027391,40894.44732,7317730.249,0.8335635774884667,0.0,2.5977349517521984
Affiliate_Impressions,23000.805990469707,16330.5,21906.787016382437,910.0,175791.0,0.9524356244498313,0.0,2.2991174560702397
Paid_Views,15145.593601089176,2664.5,31084.199916887355,1.0,518190.0,2.052359302355239,0.0,5.202277928591356
Organic_Views,13332.004084411165,4091.0,24257.533932057348,1.0,270453.0,1.8194964371801519,0.0,4.266655133446234
