shocked_channel,cpm_multiplier,status,uplift_pct,Google_Impressions_recommended_share,Google_Impressions_direction,Facebook_Impressions_recommended_share,Facebook_Impressions_direction,Email_Impressions_recommended_share,Email_Impressions_direction,Affiliate_Impressions_recommended_share,Affiliate_Impressions_direction,Paid_Views_recommended_share,Paid_Views_direction
Google_Impressions,0.5,ok,27.3179986184984,0.8417382767030983,decrease,0.062259450482836855,decrease,0.06791612103844312,increase,0.00549039539675366,increase,0.022595756378867973,increase
Google_Impressions,0.75,ok,27.148137973565184,0.8929343425685198,decrease,0.040109507990693544,decrease,0.047367648873228925,increase,0.003829239911705379,increase,0.015759260655852324,increase
Google_Impressions,1.0,ok,27.89172468300302,0.914719878523416,decrease,0.03387648319590124,decrease,0.03636513612598279,increase,0.0029397876812693926,increase,0.012098714473430625,increase
Google_Impressions,1.5,ok,28.092751631323736,0.941645159229233,decrease,0.023256525898456705,decrease,0.024830108035221003,increase,0.0020072864700312774,increase,0.008260920367057965,increase
Google_Impressions,2.0,ok,27.463959224898026,0.9573996138388381,decrease,0.015954174967869203,decrease,0.0188506714640453,increase,0.0015239038721502703,increase,0.006271635857097094,increase
Facebook_Impressions,0.5,ok,33.828019684977576,0.9159626621528124,decrease,0.031617902550323054,increase,0.03708375445739562,increase,0.002997881381535026,increase,0.012337799457933814,increase
Facebook_Impressions,0.75,ok,31.630046623920517,0.9086036197616046,decrease,0.03948981268980371,increase,0.036720929838275664,increase,0.002968550339240701,increase,0.01221708737107524,increase
Facebook_Impressions,1.0,ok,27.89172468300302,0.914719878523416,decrease,0.03387648319590124,decrease,0.03636513612598279,increase,0.0029397876812693926,increase,0.012098714473430625,increase
Facebook_Impressions,1.5,ok,27.772201074804414,0.901350157783493,decrease,0.04822338060608721,decrease,0.03567383948197446,increase,0.002883902688810736,increase,0.011868719439634457,increase
Facebook_Impressions,2.0,ok,28.07035941787945,0.8851313479579085,decrease,0.0653829081714735,decrease,0.03500833544746978,increase,0.002830102792236884,increase,0.011647305630911348,increase
Email_Impressions,0.5,ok,28.444351629604938,0.9305003536108263,decrease,0.03589670885976688,decrease,0.018391571816958413,increase,0.0029735797539360647,increase,0.01223778595851248,increase
Email_Impressions,0.75,ok,27.730947261506714,0.9247654445099635,decrease,0.032680406330393985,decrease,0.027429709142434068,increase,0.002956587164818909,increase,0.012167852852389695,increase
Email_Impressions,1.0,ok,27.89172468300302,0.914719878523416,decrease,0.03387648319590124,decrease,0.03636513612598279,increase,0.0029397876812693926,increase,0.012098714473430625,increase
Email_Impressions,1.5,ok,28.337872990104433,0.8943570064817575,decrease,0.036838686546160106,decrease,0.053934783642386415,increase,0.0029067550119894303,increase,0.011962768317706561,increase
Email_Impressions,2.0,ok,26.707614604951733,0.8846043494431178,decrease,0.02957737201354526,decrease,0.07111397880221385,increase,0.002874456431629142,increase,0.01182984330949388,increase
Affiliate_Impressions,0.5,ok,30.800420095734665,0.9015710698106536,decrease,0.04844927076688327,increase,0.03639857490164266,increase,0.0014712454497737483,increase,0.012109839071046775,increase
Affiliate_Impressions,0.75,ok,30.00980045299141,0.9048298873561743,decrease,0.044478136338541405,increase,0.036381847830369275,increase,0.0022058540019554234,increase,0.012104274472959734,increase
Affiliate_Impressions,1.0,ok,27.89172468300302,0.914719878523416,decrease,0.03387648319590124,decrease,0.03636513612598279,increase,0.0029397876812693926,increase,0.012098714473430625,increase
Affiliate_Impressions,1.5,ok,32.5482740048325,0.8897267243868717,decrease,0.05744827295808202,increase,0.036331758733244394,increase,0.004405634137852014,increase,0.012087609783949732,increase
Affiliate_Impressions,2.0,ok,26.311879208599233,0.9196543754757555,decrease,0.02610186427364893,decrease,0.0362984425545633,increase,0.005868792235589961,increase,0.012076525460442406,increase
Paid_Views,0.5,ok,27.679324460254392,0.921920857844308,decrease,0.03255273266540623,decrease,0.036503148993776664,increase,0.0029509447553114,increase,0.0060723157411978765,increase
Paid_Views,0.75,ok,27.704539072781973,0.9187194630585062,decrease,0.03280994730661371,decrease,0.036434011861394125,increase,0.002945355652685728,increase,0.00909122212080017,increase
Paid_Views,1.0,ok,27.89172468300302,0.914719878523416,decrease,0.03387648319590124,decrease,0.03636513612598279,increase,0.0029397876812693926,increase,0.012098714473430625,increase
Paid_Views,1.5,ok,27.917111176609943,0.9085065200657234,decrease,0.03425688728932944,decrease,0.036228162938703935,increase,0.0029287146555221064,increase,0.018079715050721038,increase
Paid_Views,2.0,ok,32.861511995049376,0.8776321802659801,decrease,0.05934204873477381,increase,0.036092217727856396,increase,0.002917724732239745,increase,0.024015828539149967,increase
