channel,status,pre_trend_differential_per_week,std_error,t_stat,passes_at_5pct,interpretation
Google_Impressions,ok,0.01368598431702296,0.011859188860426055,1.1540405063193568,True,"A t statistic below about 2 in absolute value is consistent with parallel pre trends. Above that, the treated divisions were already moving differently and the difference in differences estimate should not be read causally."
Facebook_Impressions,ok,0.0119291711755797,0.001898856354817659,6.282292573271147,False,"A t statistic below about 2 in absolute value is consistent with parallel pre trends. Above that, the treated divisions were already moving differently and the difference in differences estimate should not be read causally."
Email_Impressions,insufficient_treated_units,,,,,
Affiliate_Impressions,ok,0.008742530948229625,0.01719153871948725,0.5085368500679721,True,"A t statistic below about 2 in absolute value is consistent with parallel pre trends. Above that, the treated divisions were already moving differently and the difference in differences estimate should not be read causally."
Paid_Views,ok,-0.0013165731456751127,0.0011316080020536848,-1.1634533719147853,True,"A t statistic below about 2 in absolute value is consistent with parallel pre trends. Above that, the treated divisions were already moving differently and the difference in differences estimate should not be read causally."
