channel,lag_weeks,correlation,peak_lag_weeks,peak_correlation
Google_Impressions,0,0.7855224910361706,2,0.8432559522901947
Google_Impressions,1,0.8398107460930379,2,0.8432559522901947
Google_Impressions,2,0.8432559522901947,2,0.8432559522901947
Google_Impressions,3,0.8122857834707156,2,0.8432559522901947
Google_Impressions,4,0.7259462457512896,2,0.8432559522901947
Google_Impressions,5,0.6386964299835113,2,0.8432559522901947
Google_Impressions,6,0.5583488796061912,2,0.8432559522901947
Google_Impressions,7,0.5112632411688509,2,0.8432559522901947
Google_Impressions,8,0.47978082829641794,2,0.8432559522901947
Facebook_Impressions,0,0.7520388716762212,1,0.8004007825328141
Facebook_Impressions,1,0.8004007825328141,1,0.8004007825328141
Facebook_Impressions,2,0.7406861019666332,1,0.8004007825328141
Facebook_Impressions,3,0.6775482855545436,1,0.8004007825328141
Facebook_Impressions,4,0.5729409969633106,1,0.8004007825328141
Facebook_Impressions,5,0.4857972793315452,1,0.8004007825328141
Facebook_Impressions,6,0.48010785900171227,1,0.8004007825328141
Facebook_Impressions,7,0.46528416844595166,1,0.8004007825328141
Facebook_Impressions,8,0.47737565557730893,1,0.8004007825328141
Email_Impressions,0,0.7498018750945499,0,0.7498018750945499
Email_Impressions,1,0.7283579083646726,0,0.7498018750945499
Email_Impressions,2,0.7367924744733155,0,0.7498018750945499
Email_Impressions,3,0.6915553146947189,0,0.7498018750945499
Email_Impressions,4,0.6425639116351844,0,0.7498018750945499
Email_Impressions,5,0.6276679094876159,0,0.7498018750945499
Email_Impressions,6,0.5859991894654488,0,0.7498018750945499
Email_Impressions,7,0.5828785943188577,0,0.7498018750945499
Email_Impressions,8,0.588767061786376,0,0.7498018750945499
Affiliate_Impressions,0,0.4432054246380913,8,0.4902383971696873
Affiliate_Impressions,1,0.4491619475813057,8,0.4902383971696873
Affiliate_Impressions,2,0.45034787354084266,8,0.4902383971696873
Affiliate_Impressions,3,0.45870230208802487,8,0.4902383971696873
Affiliate_Impressions,4,0.46420821280000474,8,0.4902383971696873
Affiliate_Impressions,5,0.4742420283813566,8,0.4902383971696873
Affiliate_Impressions,6,0.4841779933353227,8,0.4902383971696873
Affiliate_Impressions,7,0.48811695058871324,8,0.4902383971696873
Affiliate_Impressions,8,0.4902383971696873,8,0.4902383971696873
Paid_Views,0,0.2920377812233363,6,0.3084177602475557
Paid_Views,1,0.29367196394749095,6,0.3084177602475557
Paid_Views,2,0.287873095644792,6,0.3084177602475557
Paid_Views,3,0.28980494857621625,6,0.3084177602475557
Paid_Views,4,0.28991078661508646,6,0.3084177602475557
Paid_Views,5,0.29285944413076825,6,0.3084177602475557
Paid_Views,6,0.3084177602475557,6,0.3084177602475557
Paid_Views,7,0.3041672163700664,6,0.3084177602475557
Paid_Views,8,0.3080166033830096,6,0.3084177602475557
Organic_Views,0,0.39400189561368615,2,0.42009669734749633
Organic_Views,1,0.4056087084988761,2,0.42009669734749633
Organic_Views,2,0.42009669734749633,2,0.42009669734749633
Organic_Views,3,0.41201231666520316,2,0.42009669734749633
Organic_Views,4,0.3936865597655641,2,0.42009669734749633
Organic_Views,5,0.38335453754319704,2,0.42009669734749633
Organic_Views,6,0.36932315662194204,2,0.42009669734749633
Organic_Views,7,0.3623246331267303,2,0.42009669734749633
Organic_Views,8,0.37816330832220824,2,0.42009669734749633
